Transaction Date,Post Date,Description,Category,Type,Amount,Memo
08/27/2021,08/27/2021,PURCHASE INTEREST CHARGE,Fees & Adjustments,Fee,-39.99,
08/24/2021,08/26/2021,CHICK-FIL-A,Food & Drink,Sale,-11.95,
08/20/2021,08/23/2021,NOODLE SHACK,Food & Drink,Sale,-15.06,
08/17/2021,08/18/2021,PANDA EXPRESS,Food & Drink,Sale,-9.90,
08/17/2021,08/18/2021,PANDA EXPRESS,Food & Drink,Sale,-11.47,
08/15/2021,08/17/2021,BREWERY,Food & Drink,Sale,-8.70,
08/16/2021,08/16/2021,SHOOT,Food & Drink,Sale,-19.56,
08/12/2021,08/15/2021,IN N OUT BURGER,Food & Drink,Sale,-7.56,
08/10/2021,08/11/2021,CONV CTR,Bills & Utilities,Sale,-20.00,
08/09/2021,08/11/2021,THAI Food,Food & Drink,Sale,-24.14,
08/09/2021,08/11/2021,CHICK-FIL-A,Food & Drink,Sale,-9.69,
08/09/2021,08/10/2021,Prescription,Health & Wellness,Sale,-10.00,
08/09/2021,08/09/2021,Payment Thank You-Mobile,,Payment,65.00,
08/06/2021,08/09/2021,TEA,Food & Drink,Sale,-5.45,
08/06/2021,08/09/2021,RESTA,Food & Drink,Sale,-14.23,
08/05/2021,08/08/2021,McDonalds,Food & Drink,Sale,-10.95,
